English,French,Spanish
"The engineer was to them a microcosm, a compound of every science, a possessor of all human knowledge.","L'ingénieur était pour eux un microcosme, un composé de toute la science et de toute l'intelligence humaine!","El ingeniero era para ellos un microcosmo, un compuesto de toda la ciencia e inteligencia humana."
"It was better to be with Cyrus in a desert island, than without him in the most flourishing town in the United States.",Autant valait se trouver avec Cyrus dans une île déserte que sans Cyrus dans la plus industrieuse villa de l'Union.,Tanto valía encontrarse con Ciro en una isla desierta como sin él en la misma industriosa ciudad de la Unión.
With him they could want nothing; with him they would never despair.,"Avec lui, on ne pouvait manquer de rien. Avec lui, on ne pouvait désespérer.",Con él no podía faltar nada; con él no había que desesperar.
"If these brave men had been told that a volcanic eruption would destroy the land, that this land would be engulfed in the depths of the Pacific, they would have imperturbably replied,--","On serait venu dire à ces braves gens qu'une éruption volcanique allait anéantir cette terre, que cette terre allait s'enfoncer dans les abîmes du Pacifique, qu'ils eussent imperturbablement répondu: «Cyrus est là!","Aunque hubieran dicho a aquellas buenas gentes que una erupción volcánica iba a destruir aquella tierra y hundirlos en los abismos del Pacífico, hubieran respondido imperturbablemente: ¡Ciro está aquí!"
"""Cyrus is here!""",Voyez Cyrus!»,¡Ahí está Ciro!
"While in the palanquin, however, the engineer had again relapsed into unconsciousness, which the jolting to which he had been subjected during his journey had brought on, so that they could not now appeal to his ingenuity.","En attendant, toutefois, l'ingénieur était encore plongé dans une nouvelle prostration que le transport avait déterminée, et on ne pouvait faire appel à son ingéniosité en ce moment.","Sin embargo, entretanto el ingeniero estaba aún sumergido en una nueva postración ocasionada por el transporte y no se podía apelar a su ingeniosidad en aquel momento."
The supper must necessarily be very meager.,Le souper devait nécessairement être fort maigre.,La cena debía ser necesariamente muy escasa.
"In fact, all the grouse flesh had been consumed, and there no longer existed any means of cooking more game.","En effet, toute la chair de tétras avait été consommée, et il n'existait aucun moyen de faire cuire un gibier quelconque.","En efecto, toda la carne de tetraos había sido consumida, y no existía ningún medio de asar nada de caza."
"Besides, the couroucous which had been reserved had disappeared.","D'ailleurs, les couroucous qui servaient de réserve avaient disparu.","Por otra parte, los curucús que servían de reserva habían desaparecido."
"First of all, Cyrus Harding was carried into the central passage.","Avant tout, Cyrus Smith fut transporté dans le couloir central.","Era preciso, pues, tomar una determinación."
There they managed to arrange for him a couch of sea-weed which still remained almost dry.,"Là, on parvint à lui arranger une couche d'algues et de varechs restés à peu près secs.","Ante todo, Ciro Smith fue trasladado al corredor central, donde le arreglaron una cama de algas y fucos casi secos."
The deep sleep which had overpowered him would no doubt be more beneficial to him than any nourishment.,"Le profond sommeil qui s'était emparé de lui ne pouvait que réparer rapidement ses forces, et mieux, sans doute, que ne l'eût fait une nourriture abondante.",El profundo sueño que se había apoderado de Ciro podía reparar rápidamente sus fuerzas y mejor que lo hubiera hecho cualquier alimento abundante.
"Night had closed in, and the temperature, which had modified when the wind shifted to the northwest, again became extremely cold.","La nuit était venue, et, avec elle, la température, modifiée par une saute du vent dans le nord-est, se refroidit sérieusement.","Había llegado la noche y, con ella, la temperatura, modificada por un salto de viento al nordeste, se enfrió bastante."
"Also, the sea having destroyed the partitions which Pencroft had put up in certain places in the passages, the Chimneys, on account of the draughts, had become scarcely habitable.","Or, comme la mer avait détruit les cloisons établies par Pencroff en certains points des couloirs, des courants d'air s'établirent, qui rendirent les Cheminées peu habitables.","Como el mar había destruido los tabiques construidos por Pencroff en ciertos puntos de los corredores, se establecieron corrientes de aire, que hicieron las Chimeneas inhabitables."
"The engineer's condition would, therefore, have been bad enough, if his companions had not carefully covered him with their coats and waistcoats.","L'ingénieur se fût donc trouvé dans des conditions assez mauvaises, si ses compagnons, se dépouillant de leur veste ou de leur vareuse, ne l'eussent soigneusement couvert.",El ingeniero se habría encontrado en condiciones bastante malas de no haberse desprendido sus compañeros de sus vestidos para cubrirlo cuidadosamente.
"Supper, this evening, was of course composed of the inevitable lithodomes, of which Herbert and Neb picked up a plentiful supply on the beach.","Le souper, ce soir-là, ne se composa que de ces inévitables lithodomes, dont Harbert et Nab firent une ample récolte sur la grève.","La cena aquella noche se compuso únicamente de litodomos, de los cuales Harbert y Nab hicieron recolección en la playa."
"However, to these molluscs, the lad added some edible sea-weed, which he gathered on high rocks, whose sides were only washed by the sea at the time of high tides.","Cependant, à ces mollusques, le jeune garçon joignit une certaine quantité d'algues comestibles, qu'il ramassa sur de hautes roches dont la mer ne devait mouiller les parois qu'à l'époque des grandes marées.","Sin embargo, a los moluscos, el joven añadió cierta cantidad de algas comestibles, que recogió en altas rocas, cuyas paredes no mojaba el mar más que en la época de las grandes mareas."
"This sea-weed, which belongs to the order of Fucacae, of the genus Sargassum, produces, when dry, a gelatinous matter, rich and nutritious.","Ces algues, appartenant à la famille des fucacées, étaient des espèces de sargasse qui, sèches, fournissent une matière gélatineuse assez riche en éléments nutritifs.","Aquellas algas pertenecían a la familia de las fucáceas, eran una especie de sargazos, que, secos, producen una materia gelatinosa bastante rica en elementos nutritivos."
"The reporter and his companions, after having eaten a quantity of lithodomes, sucked the sargassum, of which the taste was very tolerable. It is used in parts of the East very considerably by the natives.","Le reporter et ses compagnons, après avoir absorbé une quantité considérable de lithodomes, sucèrent donc ces sargasses, auxquelles ils trouvèrent un goût très supportable, et il faut dire que, sur les rivages asiatiques, elles entrent pour une notable proportion dans l'alimentation des indigènes.","El corresponsal y sus compañeros, después de haber absorbido una cantidad considerable de litodomos, chuparon aquellos sargazos y los encontraron muy agradables."
"""Never mind!"" said the sailor, ""the captain will help us soon.""","«N'importe! dit le marin, il est temps que M Cyrus nous vienne en aide.»","Conviene decir que en las playas asiáticas esta especie de algas entra mucho en la alimentación de los indígenas. –A pesar de todo –dijo el marino–, ya es hora de que el señor Ciro nos preste su ayuda."
"Meanwhile the cold became very severe, and unhappily they had no means of defending themselves from it.","Cependant le froid devint très vif et, par malheur, il n'y avait aucun moyen de le combattre.","Entretanto, el frío se hizo muy vivo, y, para colmo de desdicha, no tenían ningún medio para combatirlo."
"The sailor, extremely vexed, tried in all sorts of ways to procure fire.","Le marin, véritablement vexé, chercha par tous les moyens possibles à se procurer du feu.","El marino, incómodo, trató por todos los medios posibles de procurarse fuego, y Nab le ayudó en aquella operación."
"He found some dry moss, and by striking together two pebbles he obtained some sparks, but the moss, not being inflammable enough, did not take fire, for the sparks were really only incandescent, and not at all of the same consistency as those which are emitted from flint when struck in the same manner.","Il avait trouvé quelques mousses sèches, et, en frappant deux galets, il obtint des étincelles; mais la mousse, n'étant pas assez inflammable, ne prit pas, et, d'ailleurs, ces étincelles, qui n'étaient que du silex incandescent, n'avaient pas la consistance de celles qui s'échappent du morceau d'acier dans le briquet usuel.","Había encontrado musgos secos y, golpeando dos guijarros, obtuvo algunas chispas; pero el musgo no era bastante inflamable y no tomó, por otra parte, aquellas chispas, que, no siendo más que sílice incandescente, no tenían la consistencia de las que se escapan del acero y el pedernal."
"The experiment, therefore, did not succeed.",L'opération ne réussit donc pas.,"La operación, pues, no dio resultado."
"Pencroft, although he had no confidence in the proceeding, then tried rubbing two pieces of dry wood together, as savages do.","Pencroff, bien qu'il n'eût aucune confiance dans le procédé, essaya ensuite de frotter deux morceaux de bois sec l'un contre l'autre, à la manière des sauvages.","Pencroff, aunque no tenía confianza en el procedimiento, trató luego de frotar dos leños secos el uno contra el otro, a la manera de los salvajes."
"Certainly, the movement which he and Neb exhibited, if it had been transformed into heat, according to the new theory, would have been enough to heat the boiler of a steamer!","Certes, le mouvement que Nab et lui se donnèrent, s'il se fût transformé en chaleur, suivant les théories nouvelles, aurait suffi à faire bouillir une chaudière de steamer!","Ciertamente si el movimiento que Nab y él hicieron se hubiera transformado en calor, según las teorías nuevas, habría sido suficiente para hervir una caldera de vapor."
It came to nothing.,Le résultat fut nul.,El resultado fue nulo.
"The bits of wood became hot, to be sure, but much less so than the operators themselves.","Les morceaux de bois s'échauffèrent, voilà tout, et encore beaucoup moins que les opérateurs eux-mêmes.","Los pedazos de madera se calentaron, pero mucho menos que los dos hombres."
"After working an hour, Pencroft, who was in a complete state of perspiration, threw down the pieces of wood in disgust.","Après une heure de travail, Pencroff était en nage, et il jeta les morceaux de bois avec dépit.","Después de una hora de trabajo, Pencroff, sudando, arrojó los pedazos de madera con despecho."
"""I can never be made to believe that savages light their fires in this way, let them say what they will,"" he exclaimed.","«Quand on me fera croire que les sauvages allument du feu de cette façon, dit-il, il fera chaud, même en hiver!","–¡Cuando me hagan creer que los salvajes encienden fuego de este modo –dijo–, hará calor en invierno!"
"""I could sooner light my arms by rubbing them against each other!""",J'allumerais plutôt mes bras en les frottant l'un contre l'autre!»,¡Antes encenderé mis brazos frotando uno contra el otro!
The sailor was wrong to despise the proceeding.,Le marin avait tort de nier le procédé.,El marino no tenía razón en negar la eficacia del procedimiento.
Savages often kindle wood by means of rapid rubbing.,Il est constant que les sauvages enflamment le bois au moyen d'un frottement rapide.,"Es cierto que los salvajes encienden la madera con un frotamiento rápido; pero no toda clase de madera vale para esta operación, y, además, tienen “maña”, según la expresión consagrada, y probablemente Pencroff no la tenía."
Pencroft's ill humor did not last long.,La mauvaise humeur de Pencroff ne fut pas de longue durée.,El mal humor del marino no duró mucho.
"Herbert had taken the bits of wood which he had turned down, and was exerting himself to rub them.","Ces deux morceaux de bois rejetés par lui avaient été repris par Harbert, qui s'évertuait à les frotter de plus belle.",Harbert tomó los dos trozos de leña que Pencroff había arrojado con despecho y se esforzaba en frotarlos con rapidez.
The hardy sailor could not restrain a burst of laughter on seeing the efforts of the lad to succeed where he had failed.,"Le robuste marin ne put retenir un éclat de rire, en voyant les efforts de l'adolescent pour réussir là où, lui, il avait échoué.",El robusto marino no pudo contener una carcajada viendo los esfuerzos del adolescente para obtener lo que él no había podido conseguir.
"""Rub, my boy, rub!"" said he.","«Frottez, mon garçon, frottez! dit-il.","–¡Frota, hijo mío, frota! –dijo."
"""I am rubbing,"" replied Herbert, laughing, ""but I don't pretend to do anything else but warm myself instead of shivering, and soon I shall be as hot as you are, my good Pencroft!""","-- Je frotte, répondit Harbert en riant, mais je n'ai pas d'autre prétention que de m'échauffer à mon tour au lieu de grelotter, et bientôt j'aurai aussi chaud que toi, Pencroff!»","–¡Ya froto –contestó Harbert, riendo–, pero no tengo otra pretensión que calentarme en lugar de tiritar, y pronto tendré más calor que tú, Pencroff!"
This soon happened.,Ce qui arriva.,Esto fue lo que sucedió.
"However, they were obliged to give up, for this night at least, the attempt to procure fire.","Quoi qu'il en fût, il fallut renoncer, pour cette nuit, à se procurer du feu.","De todos modos, hubo que renunciar aquella noche a procurarse fuego."
"Gideon Spilett repeated, for the twentieth time, that Cyrus Harding would not have been troubled for so small a difficulty.",Gédéon Spilett répéta une vingtième fois que Cyrus Smith ne serait pas embarrassé pour si peu.,"Gedeón Spilett repitió por vigésima vez que Ciro Smith no se habría visto tan embarazado por tan poca cosa, y entretanto se tendió en uno de los corredores, sobre la cama de arena."
"Herbert, Neb, and Pencroft did the same, while Top slept at his master's feet.","Harbert, Nab et Pencroff l'imitèrent, tandis que Top dormait aux pieds de son maître.","Harbert, Nab y Pencroff lo imitaron, mientras que Top dormía a los pies de su amo."
"Next day, the 28th of March, when the engineer awoke, about eight in the morning, he saw his companions around him watching his sleep, and, as on the day before, his first words were:--","Le lendemain, 28 mars, quand l'ingénieur se réveilla, vers huit heures du matin, il vit ses compagnons près de lui, qui guettaient son réveil, et, comme la veille, ses premières paroles furent:","Al día siguiente, 28 de marzo, cuando el ingeniero se despertó hacia las ocho de la mañana, vio a sus compañeros a su lado, que miraban su despertar, y, como la víspera, sus primeras palabras fueron:"
"""Island or continent?""",«Île ou continent?»,–¿Isla o continente?
This was his uppermost thought.,"On le voit, c'était son idée fixe.","Como se ve, ésta era su idea fija."
"""You don't know yet?""",-- Vous ne savez pas encore?...,–¡Otra vez! –respondió Pencroff–.
"""But we shall know,"" rejoined Pencroft, ""when you have guided us into the country.""","-- Mais nous le saurons, ajouta Pencroff, quand vous nous aurez piloté dans ce pays.","No sabemos nada, señor Smith. –¿No saben nada aún?"
"""I think I am able to try it,"" replied the engineer, who, without much effort, rose and stood upright.","-- Je crois être en état de l'essayer, répondit l'ingénieur, qui, sans trop d'efforts, se leva et se tint debout.","–Pero lo sabremos –añadió Pencroff–, cuando usted nos haya servido de piloto en este país. –Creo que me encuentro en situación de probarlo –respondió el ingeniero, que sin grandes esfuerzos se levantó y se puso de pie."
"""That's capital!"" cried the sailor.",-- Voilà qui est bon! s'écria le marin.,–¡Muy bien! –exclamó el marino.
"""I feel dreadfully weak,"" replied Harding.","-- Je mourais surtout d'épuisement, répondit Cyrus Smith.",–Lo que me molestaba era el cansancio –respondió Ciro Smith–.
"""Give me something to eat, my friends, and it will soon go off. You have fire, haven't you?""","Mes amis, un peu de nourriture, et il n'y paraîtra plus. -- Vous avez du feu, n'est-ce pas?»","Amigos míos, un poco de alimento y me pondré bien del todo. ¿Tienen ustedes fuego?"
This question was not immediately replied to.,Cette demande n'obtint pas une réponse immédiate.,"Aquella pregunta no obtuvo una respuesta inmediata; pero, después de algunos instantes, Pencroff dijo:"
"But, in a few seconds--","Mais, après quelques instants:",–¡Ay!
"""Alas! we have no fire,"" said Pencroft, ""or rather, captain, we have it no longer!""","«Hélas! nous n'avons pas de feu, dit Pencroff, ou plutôt, monsieur Cyrus, nous n'en avons plus!»","¡No tenemos fuego, o mejor dicho, señor Ciro, no lo volveremos a tener!"
And the sailor recounted all that had passed the day before.,Et le marin fit le récit de ce qui s'était passé la veille.,"El marino hizo el relato de lo que había pasado la víspera, divirtiendo al ingeniero con la historia de una sola cerilla, y con su tentativa abortada para procurarse fuego a la manera de los salvajes."
"""We shall consider,"" replied the engineer, ""and if we do not find some substance similar to tinder--""","«Nous aviserons, répondit l'ingénieur, et si nous ne trouvons pas une substance analogue à l'amadou...",–Lo tendremos –contestó el ingeniero–; y si no encontramos una sustancia análoga a la yesca...
"""Well?"" asked the sailor.",-- Eh bien? demanda le marin.,–¿Qué? –preguntó el marino.
"""Well, we will make matches.","-- Eh bien, nous ferons des allumettes.",–Que haremos fósforos.
"""Chemicals?""",-- Chimiques?,–¿Químicos?
"""Chemicals!""",-- Chimiques!,–¡Químicos!
"""It is not more difficult than that,"" cried the reporter, striking the sailor on the shoulder.","-- Ce n'est pas plus difficile que cela», s'écria le reporter, en frappant sur l'épaule du marin.","–No es difícil eso –exclamó el reportero, dando un golpecito en el hombre del marino."
"The latter did not think it so simple, but he did not protest.","Celui-ci ne trouvait pas la chose si simple, mais il ne protesta pas.","Este no encontraba la cosa tan sencilla, pero no protestó."
All went out.,Tous sortirent.,Todos salieron.
The weather had become very fine.,Le temps était redevenu beau.,El tiempo se había despejado; el sol se levantaba en el horizonte del mar y hacía brillar como pajitas de oro las rugosidades prismáticas de la enorme muralla.
"Having thrown a rapid glance around him, the engineer seated himself on a block of stone.","Après avoir jeté un rapide coup d'oeil autour de lui, l'ingénieur s'assit sur un quartier de roche.","El ingeniero, después de haber dirigido en torno suyo una rápida mirada, se sentó en una roca."
"Herbert offered him a few handfuls of shell-fish and sargassum, saying,--","Harbert lui offrit quelques poignées de moules et de sargasses, en disant:","Harbert le ofreció unos puñados de moluscos y de sargazos, diciendo: –Es todo lo que tenemos, señor Ciro."
"""Thanks, my boy,"" replied Harding; ""it will do--for this morning at least.""","-- Merci, mon garçon, répondit Cyrus Smith, cela suffira, -- pour ce matin, du moins.»","–Gracias, hijo mío –respondió Ciro Smith–, esto será suficiente para esta mañana, por lo menos."
"He ate the wretched food with appetite, and washed it down with a little fresh water, drawn from the river in an immense shell.","Et il mangea avec appétit cette maigre nourriture, qu'il arrosa d'un peu d'eau fraîche, puisée à la rivière dans une vaste coquille.","Y comió con apetito aquel débil alimento, que acompañó de un poco de agua fresca, cogida del río con una concha grande."
His companions looked at him without speaking.,Ses compagnons le regardaient sans parler.,Sus compañeros lo miraban sin hablar.
"Then, feeling somewhat refreshed, Cyrus Harding crossed his arms, and said,--","Puis, après s'être rassasié tant bien que mal, Cyrus Smith, croisant ses bras, dit:","Después de haber satisfecho bien o mal su hambre y su sed, Ciro Smith dijo, cruzando los brazos:"
"""So, my friends, you do not know yet whether fate has thrown us on an island, or on a continent?""","«Ainsi, mes amis, vous ne savez pas encore si le sort nous a jetés sur un continent ou sur une île?","–Amigos míos, ¿de modo que no saben si hemos sido arrojados a un continente o a una isla?"
"""No, captain,"" replied the boy.","-- Non, monsieur Cyrus, répondit le jeune garçon.","–No, señor Ciro –contestó el joven."
"""We shall know to-morrow,"" said the engineer; ""till then, there is nothing to be done.""","-- Nous le saurons demain, reprit l'ingénieur. Jusque-là, il n'y a rien à faire.",–Lo sabremos mañana –añadió el ingeniero–. Hasta entonces no tenemos nada que hacer.
"""Yes,"" replied Pencroft.","-- Si, répliqua Pencroff.",–¡Sí! –replicó Pencroff.
"""What?""",-- Quoi donc?,–¿Qué?
"""Fire,"" said the sailor, who, also, had a fixed idea.","-- Du feu, dit le marin, qui, lui aussi, avait son idée fixe.","–Fuego –dijo el marino, que también tenía su idea fija."
"""We will make it, Pencroft,"" replied Harding. ""While you were carrying me yesterday, did I not see in the west a mountain which commands the country?""","-- Nous en ferons, Pencroff, répondit Cyrus Smith. -- Pendant que vous me transportiez, hier, n'ai-je pas aperçu, dans l'ouest, une montagne qui domine cette contrée?","–Ya lo haremos, Pencroff –dijo Ciro Smith–. Mientras que ustedes me transportaban ayer, me pareció ver hacia el oeste una montaña que domina este país."
"""Yes,"" replied Spilett, ""a mountain which must be rather high--""","-- Oui, répondit Gédéon Spilett, une montagne qui doit être assez élevée...","–Sí –contestó Gedeón Spilett–, una montaña que debe ser bastante elevada..."
"""Well,"" replied the engineer, ""we will climb to the summit to-morrow, and then we shall see if this land is an island or a continent.","-- Bien, reprit l'ingénieur. Demain, nous monterons à son sommet, et nous verrons si cette terre est une île ou un continent.","–Bien –repuso el ingeniero–. Mañana subiremos a la cima y veremos si esta tierra es una isla o continente. Hasta mañana, repito, no hay nada que hacer."
"Till then, I repeat, there is nothing to be done.""","Jusque-là, je le répète, rien à faire.","–¡Sí, fuego! –dijo aún el obstinado marino."
"""Yes, fire!"" said the obstinate sailor again.","-- Si, du feu! dit encore l'entêté marin.",–¡Ya se hará fuego! –replicó Gedeón Spilett–.
"""But he will make us a fire!"" replied Gideon Spilett, ""only have a little patience, Pencroft!""","-- Mais on en fera, du feu! répliqua Gédéon Spilett. Un peu de patience, Pencroff!»","¡Un poco de paciencia, Pencroff!"
"The seaman looked at Spilett in a way which seemed to say, ""If it depended upon you to do it, we wouldn't taste roast meat very soon""; but he was silent.","Le marin regarda Gédéon Spilett d'un air qui semblait dire: «S'il n'y a que vous pour en faire, nous ne tâterons pas du rôti de sitôt!» Mais il se tut.","El marino miró a Gedeón Spilett con un aire que parecía decir: “¡Si es usted quien lo ha de hacer, ya tenemos para rato comer asado!"
Meanwhile Captain Harding had made no reply.,Cependant Cyrus Smith n'avait point répondu.,“ Pero se calló. Ciro Smith no había contestado.
He appeared to be very little troubled by the question of fire.,Il semblait fort peu préoccupé de cette question du feu.,Parecía preocuparse muy poco por la cuestión del fuego.
"For a few minutes he remained absorbed in thought; then again speaking,--","Pendant quelques instants, il demeura absorbé dans ses réflexions.",Durante algunos instantes permaneció absorto en sus reflexiones.
"""My friends,"" said he, ""our situation is, perhaps, deplorable; but, at any rate, it is very plain.","«Mes amis, dit-il, notre situation est peut-être déplorable, mais, en tout cas, elle est fort simple.","–Amigos míos –dijo–, nuestra situación quizá es muy deplorable, pero en todo caso también es muy sencilla."
"Either we are on a continent, and then, at the expense of greater or less fatigue, we shall reach some inhabited place, or we are on an island.","Ou nous sommes sur un continent, et alors, au prix de fatigues plus ou moins grandes, nous gagnerons quelque point habité, ou bien nous sommes sur une île.","O estamos en un continente, y entonces, a costa de fatigas más o menos grandes, llegaremos a algún punto habitable, o bien estamos en una isla, y en este último caso: si la isla está habitada, tendremos que relacionarnos con sus habitantes; si está desierta, tendremos que vivir por nosotros mismos."
"""Certainly, nothing could be plainer,"" replied Pencroft.","-- Il est certain que rien n'est plus simple, répondit Pencroff.",–¡Sí que es sencillita la cosa! –añadió Pencroff.
"""But, whether it is an island or a continent,"" asked Gideon Spilett, ""whereabouts do you think, Cyrus, this storm has thrown us?""","-- Mais, que ce soit un continent ou une île, demanda Gédéon Spilett, où pensez-vous, Cyrus, que cet ouragan nous ait jetés?","–Pero sea isla o continente –preguntó Gedeón Spilett–, ¿dónde le parece a usted que hemos sido arrojados?"
"""I cannot say exactly,"" replied the engineer, ""but I presume it is some land in the Pacific.","-- Au juste, je ne puis le savoir, répondit l'ingénieur, mais les présomptions sont pour une terre du Pacifique.","–A ciencia cierta, no puedo saberlo –contestó el ingeniero–, pero presumo que nos encontramos en tierra del Pacífico."
"In fact, when we left Richmond, the wind was blowing from the northeast, and its very violence greatly proves that it could not have varied.","En effet, quand nous avons quitté Richmond, le vent soufflait du nord-est, et sa violence même prouve que sa direction n'a pas dû varier.","En efecto, cuando partimos de Richmond, el viento soplaba del nordeste, y su violencia prueba que su dirección no ha debido variar."
"If the direction has been maintained from the northeast to the southwest, we have traversed the States of North Carolina, of South Carolina, of Georgia, the Gulf of Mexico, Mexico, itself, in its narrow part, then a part of the Pacific Ocean.","Si cette direction s'est maintenue du nord-est au sud-ouest, nous avons traversé les états de la Caroline du Nord, de la Caroline du Sud, de la Géorgie, le golfe du Mexique, le Mexique lui-même, dans sa partie étroite, puis une portion de l'océan Pacifique.","Si esta dirección se ha mantenido de nordeste a sudoeste, hemos atravesado los Estados de Carolina del Norte, de la Carolina del Sur, de Georgia, el golfo de México, México, en su parte estrecha, y después una parte del océano Pacífico."
"I cannot estimate the distance traversed by the balloon at less than six to seven thousand miles, and, even supposing that the wind had varied half a quarter, it must have brought us either to the archipelago of Mendava, either on the Pomotous, or even, if it had a greater strength than I suppose, to the land of New Zealand.","Je n'estime pas à moins de six à sept mille milles la distance parcourue par le ballon, et, pour peu que le vent ait varié d'un demi-quart, il a dû nous porter soit sur l'archipel de Mendana, soit sur les Pomotou, soit même, s'il avait une vitesse plus grande que je ne le suppose, jusqu'aux terres de la Nouvelle-Zélande.","No calculo menos de seis mil o siete mil millas la distancia recorrida por el globo, y por poco que el viento haya variado ha debido llevamos o al archipiélago de Mendana, o a las islas de Tuamotú, o, si tenía más velocidad de la que me parece, hasta la tierra de Nueva Zelanda."
"If the last hypothesis is correct, it will be easy enough to get home again.","Si cette dernière hypothèse s'est réalisée, notre rapatriement sera facile.","Si esta última hipótesis se ha realizado, nuestra repatriación será fácil, pues encontraremos con quienes hablar, ya sean ingleses o maorís."
"If, on the contrary, this is the coast of a desert island in some tiny archipelago, perhaps we shall be able to reconnoiter it from the summit of that peak which overlooks the country, and then we shall see how best to establish ourselves here as if we are never to go away.""","Si, au contraire, cette côte appartient à quelque île déserte d'un archipel micronésien, peut-être pourrons-nous le reconnaître du haut de ce cône qui domine la contrée, et alors nous aviserons à nous établir ici, comme si nous ne devions jamais en sortir!","Si, al contrario, esta costa pertenece a alguna isla desierta de un archipiélago micronesio, quizá podremos reconocerlo desde lo alto del cono que domina este país, y entonces tendremos que establecernos aquí como si no debiéramos salir nunca."
"""Never?"" cried the reporter.",-- Jamais! s'écria le reporter.,–¡Nunca! –exclamó el corresponsal–.
"""You say 'Never,' my dear Cyrus?""",Vous dites: jamais! mon cher Cyrus?,"¿Dice usted nunca, querido Ciro?"
"""Better to put things at the worst at first,"" replied the engineer, ""and reserve the best for a surprise.""","-- Mieux vaut mettre les choses au pis tout de suite, répondit l'ingénieur, et ne se réserver que la surprise du mieux.",–Más vale ponerse desde luego en lo peor –contestó el ingeniero–; así se reserva uno la sorpresa de lo mejor.
"""Well said,"" remarked Pencroft.",-- Bien dit! répliqua Pencroff.,–¡Bien dicho! –replicó Pencroff–.
"""It is to be hoped, too, that this island, if it be one, is not situated just out of the course of ships; that would be really unlucky!""","Et il faut espérer aussi que cette île, si c'en est une, ne sera pas précisément située en dehors de la route des navires!","Debemos, sin embargo, esperar que esta isla, si lo es, no se encontrará precisamente situada fuera de la ruta de los barcos."
"""We shall not know what we have to rely on until we have first made the ascent of the mountain,"" replied the engineer.","-- Nous ne saurons à quoi nous en tenir qu'après avoir fait, et avant tout, l'ascension de la montagne, répondit l'ingénieur.",–No sabremos a qué atenernos sino después de haber subido a la cima de la montaña –añadió el ingeniero.
"""But to-morrow, captain,"" asked Herbert, ""shall you be in a state to bear the fatigue of the ascent?""","-- Mais demain, monsieur Cyrus, demanda Harbert, serez-vous en état de supporter les fatigues de cette ascension?","–Pero mañana, señor Ciro –preguntó Harbert–, ¿podrá soportar usted las fatigas de esta ascensión?"
"""I hope so,"" replied the engineer, ""provided you and Pencroft, my boy, show yourselves quick and clever hunters.""","-- Je l'espère, répondit l'ingénieur, mais à la condition que maître Pencroff et toi, mon enfant, vous vous montriez chasseurs intelligents et adroits.","–Así lo espero –contestó el ingeniero–, pero a condición de que Pencroff y tú, hijo mío, os mostréis cazadores inteligentes y diestros."
"""Captain,"" said the sailor, ""since you are speaking of game, if on my return, I was as certain of roasting it as I am of bringing it back--""","-- Monsieur Cyrus, répondit le marin, puisque vous parlez de gibier, si, à mon retour, j'étais aussi certain de pouvoir le faire rôtir que je suis certain de le rapporter...","–Señor Ciro –dijo el marino–, ya que habla usted de caza, si a mi vuelta estuviera tan seguro de poderla asar como estoy tan seguro de traerla..."
"""Bring it back all the same, Pencroft,"" replied Harding.","-- Rapportez toujours, Pencroff», répondit Cyrus Smith.","–Tráigala usted de todos modos, Pencroff –dijo Ciro Smith."
"It was then agreed that the engineer and the reporter were to pass the day at the Chimneys, so as to examine the shore and the upper plateau.","Il fut donc convenu que l'ingénieur et le reporter passeraient la journée aux Cheminées, afin d'examiner le littoral et le plateau supérieur.","Se convino, pues, que el ingeniero y el corresponsal pasarían el día en las Chimeneas, a fin de examinar el litoral y la meseta superior."
"Neb, Herbert, and the sailor were to return to the forest, renew their store of wood, and lay violent hands on every creature, feathered or hairy, which might come within their reach.","Pendant ce temps, Nab, Harbert et le marin retourneraient à la forêt, y renouvelleraient la provision de bois, et feraient main-basse sur toute bête de plume ou de poil qui passerait à leur portée.","Durante este tiempo, Nab, Harbert y el marino volverían al bosque, renovarían la provisión de leña y harían acopio de todo animal de pluma o de pelo que pasara a su alcance."
"They set out accordingly about ten o'clock in the morning, Herbert confident, Neb joyous, Pencroft murmuring aside,--","Ils partirent donc, vers dix heures du matin, Harbert confiant, Nab joyeux, Pencroff murmurant à part lui:","Partieron, pues, hacia las diez de la mañana: Harbert, confiado; Nab, alegre; Pencroff, murmurando para sí:"
"""If, on my return, I find a fire at the house, I shall believe that the thunder itself came to light it.""","«Si, à mon retour, je trouve du feu à la maison, c'est que le tonnerre en personne sera venu l'allumer!»","–Si a mi vuelta encuentro fuego en casa, es porque el rayo en persona habrá venido a encenderlo."
"All three climbed the bank; and arrived at the angle made by the river, the sailor, stopping, said to his two companions,--","Tous trois remontèrent la berge, et, arrivés au coude que formait la rivière, le marin, s'arrêtant, dit à ses deux compagnons:","Los tres subieron por la orilla y, al llegar al recodo que formaba el río, el marino, deteniéndose, dijo a sus compañeros:"
"""Shall we begin by being hunters or wood-men?""",«Commençons-nous par être chasseurs ou bûcherons?,–¿Comenzaremos siendo cazadores o leñadores?
"""Hunters,"" replied Herbert.","-- Chasseurs, répondit Harbert.",–Cazadores –contestó Harbert–; ya está Top en su sitio.
"""We will hunt, then,"" said the sailor, ""and afterwards we can come back and collect our wood.""","-- Chassons donc, reprit le marin; puis, nous reviendrons ici faire notre provision de bois.»","–Cacemos, pues –respondió el marino–; después volveremos aquí para hacer nuestra provisión de leña."
